cell_id	cell_type
cell_0	0
cell_1	0
cell_2	1
cell_3	0
cell_4	1
cell_5	1
cell_6	0
cell_7	0
cell_8	1
cell_9	0
cell_10	0
cell_11	1
cell_12	1
cell_13	0
cell_14	1
cell_15	0
cell_16	1
cell_17	1
cell_18	1
cell_19	0
cell_20	0
cell_21	1
cell_22	1
cell_23	0
cell_24	0
cell_25	1
cell_26	1
cell_27	0
cell_28	0
cell_29	1
cell_30	1
cell_31	0
cell_32	1
cell_33	0
cell_34	0
cell_35	1
cell_36	1
cell_37	0
cell_38	1
cell_39	1
cell_40	0
cell_41	1
cell_42	1
cell_43	0
cell_44	1
cell_45	1
cell_46	0
cell_47	0
cell_48	1
cell_49	0
cell_50	1
cell_51	1
cell_52	1
cell_53	0
cell_54	1
cell_55	0
cell_56	0
cell_57	0
cell_58	1
cell_59	0
cell_60	1
cell_61	1
cell_62	1
cell_63	1
cell_64	1
cell_65	1
cell_66	0
cell_67	0
cell_68	0
cell_69	1
cell_70	1
cell_71	1
cell_72	0
cell_73	1
cell_74	0
cell_75	1
cell_76	0
cell_77	0
cell_78	1
cell_79	1
cell_80	1
cell_81	0
cell_82	0
cell_83	0
cell_84	0
cell_85	1
cell_86	0
cell_87	0
cell_88	0
cell_89	1
cell_90	0
cell_91	1
cell_92	0
cell_93	0
cell_94	1
cell_95	1
cell_96	1
cell_97	0
cell_98	1
cell_99	0
cell_100	0
cell_101	1
cell_102	0
cell_103	1
cell_104	0
cell_105	0
cell_106	0
cell_107	0
cell_108	0
cell_109	1
cell_110	1
cell_111	0
cell_112	0
cell_113	0
cell_114	1
cell_115	1
cell_116	1
cell_117	0
cell_118	0
cell_119	1
cell_120	1
cell_121	1
cell_122	1
cell_123	1
cell_124	1
cell_125	0
cell_126	1
cell_127	1
cell_128	1
cell_129	0
cell_130	1
cell_131	0
cell_132	0
cell_133	1
cell_134	1
cell_135	1
cell_136	0
cell_137	0
cell_138	1
cell_139	0
cell_140	1
cell_141	1
cell_142	0
cell_143	0
cell_144	1
cell_145	0
cell_146	1
cell_147	0
cell_148	0
cell_149	0
cell_150	0
cell_151	1
cell_152	1
cell_153	1
cell_154	0
cell_155	1
cell_156	1
cell_157	1
cell_158	1
cell_159	1
cell_160	0
cell_161	0
cell_162	1
cell_163	0
cell_164	1
cell_165	1
cell_166	1
cell_167	0
cell_168	1
cell_169	0
cell_170	0
cell_171	0
cell_172	1
cell_173	1
cell_174	0
cell_175	1
cell_176	0
cell_177	1
cell_178	1
cell_179	1
cell_180	0
